Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Hour,Date,Time
 Just adopted a cute furry friend! 🐾              ,Positive,Petadopter,Instagram,#Petadoption #Furryfriend,15.0,30.0,Canada,17,2023-01-19,17:10:00
 Late-night gaming session with friends.            ,Positive,Gamerx,Twitter,#Gaming #Latenight,18.0,35.0,Uk,0,2023-01-20,00:05:00
 Attending a virtual conference on AI.              ,Neutral,Techconference,Facebook,#Ai #Techconference,25.0,50.0,Usa,11,2023-01-20,11:30:00
 Winter blues got me feeling low.                   ,Negative,Winterblues,Instagram,#Winterblues #Mood,8.0,15.0,Usa,15,2023-01-20,15:15:00
 Sipping coffee and enjoying a good book.           ,Positive,Bookworm,Twitter,#Reading #Coffeetime,22.0,45.0,India,8,2023-01-21,08:40:00
 Exploring the world of virtual reality.            ,Positive,Vrexplorer,Facebook,#Vr #Virtualreality,15.0,30.0,Usa,13,2023-01-21,13:20:00
 Productive day ticking off my to-do list.          ,Positive,Productivitypro,Instagram,#Productivity #Workfromhome,30.0,60.0,Usa,16,2023-01-21,16:45:00
 Just finished a challenging workout routine.       ,Positive,Fitnesswarrior,Twitter,#Fitness #Challengeaccepted,20.0,40.0,Uk,9,2023-01-22,09:15:00
 Celebrating a milestone at work! 🎉               ,Positive,Careermilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,14,2023-01-22,14:30:00
 Sunday brunch with friends.                        ,Positive,Brunchbuddy,Instagram,#Brunch #Friends,15.0,30.0,Uk,12,2023-01-22,12:00:00
 Learning a new language for personal growth.       ,Positive,Languagelearner,Facebook,#Languagelearning #Personalgrowth,25.0,50.0,India,16,2023-01-23,16:20:00
 Quiet evening with a good book.                    ,Positive,Booklover,Instagram,#Reading #Quiettime,15.0,30.0,Australia,19,2023-01-23,19:45:00
 Reflecting on the importance of mental health.     ,Positive,Mentalhealthmatters,Twitter,#Mentalhealth #Selfcare,22.0,45.0,Usa,11,2023-01-24,11:30:00
 New painting in progress! 🎨                       ,Positive,Artistinaction,Facebook,#Art #Paintinginprogress,12.0,25.0,Canada,15,2023-01-24,15:00:00
 Weekend road trip to explore scenic views.         ,Positive,Roadtripper,Instagram,#Roadtrip #Scenicviews,18.0,35.0,Uk,17,2023-01-24,17:30:00
 Enjoying a cup of tea and watching the sunset.     ,Positive,Sunsetwatcher,Twitter,#Teatime #Sunset,15.0,30.0,India,18,2023-01-25,18:00:00
 Coding a new project with enthusiasm.              ,Positive,Codeenthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0,Usa,13,2023-01-25,13:15:00
 Feeling inspired after attending a workshop.       ,Positive,Workshopattendee,Instagram,#Inspiration #Workshop,25.0,50.0,Usa,9,2023-01-26,09:45:00
 Winter sports day at the local park.               ,Positive,Wintersports,Twitter,#Wintersports #Fun,15.0,30.0,Canada,14,2023-01-26,14:20:00
 Quality time with family this weekend.             ,Positive,Familytime,Facebook,#Familytime #Weekend,22.0,45.0,Uk,17,2023-01-26,17:40:00
 Attending a live music concert tonight.            ,Positive,Musiclover,Instagram,#Music #Concertnight,18.0,35.0,Usa,20,2023-01-27,20:00:00
 Practicing mindfulness with meditation.            ,Positive,Mindfulmoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,12,2023-01-27,12:30:00
 Trying out a new dessert recipe.                   ,Positive,Dessertexplorer,Facebook,#Dessert #Cooking,12.0,25.0,Canada,16,2023-01-27,16:10:00
 Excited about the upcoming gaming tournament.      ,Positive,Gamingenthusiast,Instagram,#Gaming #Tournament,30.0,60.0,Usa,9,2023-01-28,09:00:00
 Planning a garden makeover for spring.             ,Positive,Gardenplanner,Twitter,#Gardening #Spring,25.0,50.0,Usa,14,2023-01-28,14:45:00
 Celebrating a friend's birthday tonight! 🎂       ,Positive,Birthdaybash,Facebook,#Birthday #Celebration,15.0,30.0,Uk,19,2023-01-28,19:30:00
 Feeling accomplished after a productive day.       ,Positive,Productivitywin,Instagram,#Accomplished #Success,22.0,45.0,India,17,2023-01-29,17:00:00
 A cozy evening with a good movie.                 ,Positive,Movienight,Twitter,#Cozynight #Movietime,18.0,35.0,Canada,20,2023-01-29,20:20:00
 Exploring local art galleries this weekend.        ,Positive,Artexplorer,Facebook,#Art #Galleryexplore,15.0,30.0,Usa,11,2023-01-30,11:30:00
 New book release from my favorite author!          ,Positive,Bookwormx,Instagram,#Bookrelease #Favoriteauthor,12.0,25.0,Uk,15,2023-01-30,15:45:00
 Attending a virtual reality meetup.                ,Positive,Vrmeetup,Twitter,#Vrmeetup #Virtualreality,28.0,55.0,India,18,2023-01-30,18:30:00
 Reflecting on the beauty of nature.                ,Positive,Naturelover,Facebook,#Nature #Reflection,15.0,30.0,Australia,10,2023-01-31,10:45:00
 Cooking a special dinner for loved ones.           ,Positive,Chefathome,Instagram,#Cooking #Specialdinner,20.0,40.0,Usa,19,2023-01-31,19:00:00
 Feeling optimistic about the week ahead.           ,Positive,Optimisticmindset,Twitter,#Optimism #Newweek,15.0,30.0,Canada,16,2023-01-31,16:20:00
 Starting a new fitness challenge tomorrow! 💪     ,Positive,Fitnesschallenge,Facebook,#Fitnesschallenge #Newbeginnings,22.0,45.0,Uk,8,2023-02-01,08:00:00
 Sunday bike ride through scenic trails.           ,Positive,Bikeexplorer,Instagram,#Bikeride #Scenictrails,18.0,35.0,Usa,13,2023-02-01,13:30:00
 Can't believe the injustice happening in our society.,Anger,Socialjustice,Twitter,#Injustice #Angry,20.0,40.0,Canada,9,2023-02-11,09:30:00
 Feeling a sense of fear after watching a thriller movie. ,Fear,Thrillerfan,Instagram,#Fear #Thrillermovie,15.0,30.0,Usa,21,2023-02-11,21:15:00
 Heartbroken after hearing the news about a natural disaster. ,Sadness,Empathyfirst,Facebook,#Sadness #Naturaldisaster,25.0,50.0,India,14,2023-02-12,14:45:00
 The state of the world's environment is just disgusting. ,Disgust,Ecoawareness,Twitter,#Disgust #Environment,18.0,35.0,Uk,18,2023-02-12,18:20:00
 Pure happiness: celebrating a loved one's achievement! ,Happiness,Proudfriend,Instagram,#Happiness #Celebration,30.0,60.0,Usa,10,2023-02-13,10:00:00
 Laughter is the best medicine—enjoying a comedy show. ,Joy,Comedyfan,Facebook,#Joy #Comedyshow,22.0,45.0,Canada,19,2023-02-13,19:30:00
 Sharing love and positive vibes with everyone! ❤️      ,Love,Lovespreader,Twitter,#Love #Spreadlove,15.0,30.0,Australia,8,2023-02-14,08:30:00
 An amusing incident brightened up my day!               ,Amusement,Amusedsoul,Instagram,#Amusement #Funtimes,18.0,35.0,Uk,14,2023-02-14,14:20:00
 Enjoying a quiet evening with a book and some tea.      ,Enjoyment,Bookloveragain,Facebook,#Enjoyment #Booktime,25.0,50.0,Canada,19,2023-02-14,19:45:00
 Admiring the beauty of nature during a peaceful hike.   ,Admiration,Natureadmirer,Twitter,#Admiration #Nature,20.0,40.0,Usa,11,2023-02-15,11:30:00
 Sending affectionate vibes to all my followers!          ,Affection,Affectionsender,Instagram,#Affection #Positivevibes,15.0,30.0,Usa,16,2023-02-15,16:00:00
 Experiencing awe at the breathtaking sunset.            ,Awe,Awestruck,Facebook,#Awe #Breathtaking,22.0,45.0,Australia,20,2023-02-15,20:30:00
 Disappointed with the service at a local restaurant.    ,Disappointed,Foodiegonewrong,Twitter,#Disappointed #Badservice,18.0,35.0,India,9,2023-02-16,09:00:00
 A surprise gift from a friend made my day!              ,Surprise,Happysurprise,Instagram,#Surprise #Gift,25.0,50.0,Usa,14,2023-02-16,14:45:00
 Finding acceptance in the midst of life's challenges.   ,Acceptance,Acceptanceseeker,Facebook,#Acceptance #Challenges,15.0,30.0,Canada,18,2023-02-16,18:20:00
 Overflowing with adoration for my adorable pet! 🐾      ,Adoration,Petadorer,Twitter,#Adoration #Petlove,22.0,45.0,Uk,10,2023-02-17,10:45:00
 Anticipating a thrilling adventure in the coming weeks. ,Anticipation,Adventureawaits,Instagram,#Anticipation #Adventure,20.0,40.0,Usa,7,2023-02-17,07:30:00
 A bitter experience turned into a valuable lesson.      ,Bitter,Learnfrombitter,Facebook,#Bitterlesson #Growth,18.0,35.0,Usa,15,2023-02-17,15:00:00
 Finding calmness in the midst of a busy day.            ,Calmness,Zenmaster,Twitter,#Calmness #Peacefulmind,15.0,30.0,India,9,2023-02-18,09:30:00
 Confusion clouds my mind as I navigate through decisions.,Confusion,Confusedmind,Instagram,#Confusion #Decisionmaking,25.0,50.0,Uk,14,2023-02-18,14:20:00
 Excitement building up for the upcoming vacation!       ,Excitement,Vacationdreamer,Facebook,#Excitement #Travelplans,22.0,45.0,Canada,18,2023-02-18,18:45:00
 Kindness witnessed today restored my faith in humanity. ,Kind,Kindnessprevails,Twitter,#Kindness #Humanity,20.0,40.0,Usa,11,2023-02-19,11:30:00
 Pride in achieving a personal milestone.               ,Pride,Personalachiever,Instagram,#Pride #Milestone,30.0,60.0,Australia,16,2023-02-19,16:00:00
 A moment of shame for not standing up against injustice. ,Shame,Reflectiveself,Facebook,#Shame #Injustice,15.0,30.0,India,19,2023-02-19,19:45:00
 Fuming with anger after a heated argument.            ,Anger,Angrydebater,Twitter,#Anger #Argument,20.0,40.0,Canada,9,2023-02-20,09:30:00
 The fear of the unknown is keeping me up at night.    ,Fear,Fearfuldreamer,Instagram,#Fear #Unknown,15.0,30.0,Usa,21,2023-02-20,21:15:00
 Heartfelt sadness after bidding farewell to a dear friend. ,Sadness,Farewellheart,Facebook,#Sadness #Farewell,25.0,50.0,India,14,2023-02-21,14:45:00
 The state of corruption in our society is utterly disgusting. ,Disgust,Anticorruption,Twitter,#Disgust #Corruption,18.0,35.0,Uk,18,2023-02-21,18:20:00
 Overflowing happiness: welcoming a new family member!  ,Happiness,Newparentjoy,Instagram,#Happiness #Newfamilymember,30.0,60.0,Uk,10,2023-02-22,10:00:00
 Laughter is the key to joy—attending a stand-up comedy show. ,Joy,Standupfan,Facebook,#Joy #Standupcomedy,22.0,45.0,Canada,19,2023-02-22,19:30:00
 Sending love to all my followers on this beautiful day! ❤️ ,Love,Lovesender,Twitter,#Love #Spreadlove,15.0,30.0,Australia,8,2023-02-23,08:30:00
 Amused by the antics of my pet—it's pure amusement!      ,Amusement,Petamuser,Instagram,#Amusement #Petantics,18.0,35.0,Uk,14,2023-02-23,14:20:00
 Enjoying every moment of this trip—pure enjoyment!      ,Enjoyment,Travelexplorer,Facebook,#Enjoyment #Travel,25.0,50.0,Usa,19,2023-02-23,19:45:00
 Admiring the dedication of volunteers at a local charity. ,Admiration,Charityadmirer,Twitter,#Admiration #Volunteers,20.0,40.0,Usa,11,2023-02-24,11:30:00
 Sending affectionate vibes to friends and family.        ,Affection,Familylover,Instagram,#Affection #Familylove,15.0,30.0,Usa,16,2023-02-24,16:00:00
 Awe-struck by the beauty of the night sky.               ,Awe,Stargazer,Facebook,#Awe #Starrynight,22.0,45.0,Australia,20,2023-02-24,20:30:00
 Disappointed with the lack of progress in a personal project. ,Disappointed,Projectstruggle,Twitter,#Disappointed #Project,18.0,35.0,India,9,2023-02-25,09:00:00
 A surprise visit from an old friend brought tears of joy. ,Surprise,Joyfulreunion,Instagram,#Surprise #Oldfriends,25.0,50.0,Usa,14,2023-02-25,14:45:00
 Embracing acceptance of life's ups and downs.           ,Acceptance,Lifeacceptance,Facebook,#Acceptance #Lifejourney,15.0,30.0,Canada,18,2023-02-25,18:20:00
 Overflowing adoration for a cute rescue puppy! 🐶       ,Adoration,Puppyadmirer,Twitter,#Adoration #Puppylove,22.0,45.0,Uk,10,2023-02-26,10:45:00
 Anticipating the release of a much-awaited movie.       ,Anticipation,Moviebuff2,Instagram,#Anticipation #Movierelease,20.0,40.0,Australia,7,2023-02-26,07:30:00
 Bitter experience at the customer service department.   ,Bitter,Customerwoes,Facebook,#Bitterexperience #Customerservice,18.0,35.0,Usa,15,2023-02-26,15:00:00
 Finding calmness amidst the chaos of daily life.        ,Calmness,Calmsoul,Twitter,#Calmness #Innerpeace,15.0,30.0,India,9,2023-02-27,09:30:00
 Confusion reigns as I try to make sense of recent events.,Confusion,Confusedmind2,Instagram,#Confusion #Makingsense,25.0,50.0,Uk,14,2023-02-27,14:20:00
 Excitement building up for a surprise birthday party.   ,Excitement,Birthdayexcite,Facebook,#Excitement #Surpriseparty,22.0,45.0,Canada,18,2023-02-27,18:45:00
 Witnessed an act of kindness that made my day.          ,Kind,Kindnessobserver,Twitter,#Kindness #Actsofkindness,20.0,40.0,Usa,11,2023-02-28,11:30:00
 Pride in completing a challenging fitness challenge.    ,Pride,Fitachiever,Instagram,#Pride #Fitnesschallengecompleted,30.0,60.0,Uk,16,2023-02-28,16:00:00
 A moment of shame for not speaking up against injustice.,Shame,Reflectiveself2,Facebook,#Shame #Injustice,15.0,30.0,India,19,2023-02-28,19:45:00
 Reflecting on the beauty of diversity in our world.     ,Acceptance,Diversitylover,Twitter,#Acceptance #Diversity,22.0,45.0,Australia,10,2023-03-01,10:45:00
 Excitement for a quiet evening with a good book.        ,Excitement,Bookwormjoy,Instagram,#Excitement #Booktime,18.0,35.0,Usa,13,2023-03-01,13:30:00
 Feeling bitter about the unfairness in the workplace.   ,Bitter,Workplacewoes,Twitter,#Bitter #Unfairness,15.0,30.0,Canada,17,2023-03-01,17:45:00
 Calmness prevails as I practice mindfulness.            ,Calmness,Mindfulme,Facebook,#Calmness #Mindfulness,15.0,30.0,Uk,18,2023-03-02,18:00:00
 Confusion surrounds me as I navigate through life's choices. ,Confusion,Confusedmind3,Instagram,#Confusion #Lifechoices,30.0,60.0,Usa,13,2023-03-02,13:15:00
 Excitement for a weekend road trip to explore new places. ,Excitement,Roadtripper2,Twitter,#Excitement #Weekendadventure,25.0,50.0,India,16,2023-03-02,16:45:00
 Kindness witnessed today restores my faith in humanity.  ,Kind,Kindnessprevails2,Facebook,#Kindness #Humanityrestored,22.0,45.0,Usa,11,2023-03-03,11:30:00
 Pride in accomplishing personal and professional goals.  ,Pride,Goalachiever,Instagram,#Pride #Accomplishments,12.0,25.0,Canada,14,2023-03-03,14:30:00
 Shame for not being true to my values in a difficult situation.,Shame,Reflectiveself3,Twitter,#Shame #Integrity,15.0,30.0,Uk,12,2023-03-03,12:00:00
" Revisiting old memories, feeling a sense of elation. ",Elation,Nostalgiafan,Twitter,#Elation #Memories,20.0,40.0,Canada,15,2010-05-15,15:30:00
 The victory of our team brought euphoria to the city. ,Euphoria,Sportsfanatic,Instagram,#Euphoria #Victory,15.0,30.0,Usa,21,2021-08-10,21:15:00
" Embracing the beauty of nature, a moment of contentment. ",Contentment,Naturelover2,Facebook,#Contentment #Nature,25.0,50.0,India,14,2011-06-20,14:45:00
" Meditating by the serene lake, finding inner peace.   ",Serenity,Zenmaster2,Twitter,#Serenity #Meditation,18.0,35.0,Uk,18,2022-02-12,18:20:00
 Overflowing with gratitude for life's blessings.      ,Gratitude,Thankfulheart,Instagram,#Gratitude #Blessed,30.0,60.0,Australia,10,2012-11-25,10:00:00
" Hopeful for a brighter tomorrow, despite challenges.  ",Hope,Optimisticsoul,Facebook,#Hope #Optimism,22.0,45.0,Usa,19,2013-04-05,19:30:00
 Empowered to make a difference in my community.        ,Empowerment,Communityleader,Twitter,#Empowerment #Community,15.0,30.0,Uk,8,2014-09-14,08:30:00
 Compassion in action: supporting a local charity event. ,Compassion,Charitysupporter,Instagram,#Compassion #Charityevent,18.0,35.0,Canada,14,2015-07-18,14:20:00
" A moment of tenderness, connecting with loved ones.    ",Tenderness,Lovingheart,Facebook,#Tenderness #Familytime,25.0,50.0,Uk,19,2016-02-23,19:45:00
 Arousal of excitement as I await a special announcement.,Arousal,Excitementfan,Twitter,#Arousal #Excitement,20.0,40.0,Australia,11,2017-10-30,11:30:00
 Enthusiastically diving into a new project.            ,Enthusiasm,Projectenthusiast,Instagram,#Enthusiasm #Newproject,15.0,30.0,Usa,16,2018-06-15,16:00:00
 Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Milestoneachiever,Facebook,#Fulfillment #Milestone,22.0,45.0,India,18,2019-03-28,18:20:00
 Reverence for the beauty of a historic landmark.       ,Reverence,Historylover,Twitter,#Reverence #History,18.0,35.0,Uk,15,2019-11-11,15:00:00
 Elation after a surprise reunion with old friends.    ,Elation,Joyfulreunion2,Instagram,#Elation #Oldfriends,25.0,50.0,Canada,9,2020-04-02,09:30:00
 The euphoria of a live music concert under the stars.  ,Euphoria,Musicenthusiast,Facebook,#Euphoria #Livemusic,15.0,30.0,Usa,14,2021-06-19,14:45:00
 Contentment in the simplicity of a quiet Sunday.       ,Contentment,Simplejoys,Twitter,#Contentment #Sundaymood,30.0,60.0,Australia,10,2010-08-15,10:00:00
 Serenity found in the pages of a favorite book.        ,Serenity,Booklover3,Instagram,#Serenity #Booktime,22.0,45.0,Uk,19,2011-09-22,19:30:00
 Gratitude for the support received during tough times. ,Gratitude,Supportivefriend,Facebook,#Gratitude #Supportive,15.0,30.0,India,8,2012-03-10,08:30:00
 Hopeful about the possibilities of a new journey.      ,Hope,Journeyoptimist,Twitter,#Hope #Newbeginnings,18.0,35.0,Canada,16,2013-12-05,16:00:00
 Empowerment through learning and personal growth.      ,Empowerment,Growthseeker,Instagram,#Empowerment #Personalgrowth,25.0,50.0,Usa,11,2014-07-20,11:30:00
 Compassion towards those in need during the holidays.  ,Compassion,Holidayhelper,Facebook,#Compassion #Holidaysupport,18.0,35.0,Usa,14,2015-12-22,14:20:00
 Tenderness in the warmth of a cozy winter evening.     ,Tenderness,Winterwarmth,Twitter,#Tenderness #Cozyevening,25.0,50.0,Uk,19,2016-02-10,19:45:00
 Arousal of excitement for an upcoming adventure.       ,Arousal,Adventureawaits,Instagram,#Arousal #Adventuretime,20.0,40.0,Australia,11,2017-04-30,11:30:00
 Enthusiasm for a creative project in the making.       ,Enthusiasm,Creativespirit,Facebook,#Enthusiasm #Creativity,15.0,30.0,Canada,16,2018-09-15,16:00:00
 Fulfillment in completing a challenging workout routine.,Fulfillment,Fitnessachiever,Twitter,#Fulfillment #Fitnessgoals,22.0,45.0,India,18,2019-06-28,18:20:00
 Reverence for the artistry displayed in a museum.      ,Reverence,Artappreciator,Instagram,#Reverence #Artappreciation,18.0,35.0,Uk,15,2020-11-11,15:00:00
 Elation after achieving a personal goal.               ,Elation,Goalachiever2,Facebook,#Elation #Personalachievement,25.0,50.0,Usa,9,2021-03-02,09:30:00
 Elation over discovering a hidden gem in the city.   ,Elation,Urbanexplorer2,Twitter,#Elation #Hiddengem,20.0,40.0,Usa,14,2012-02-18,14:30:00
 The euphoria of a surprise birthday celebration.     ,Euphoria,Birthdayjoy,Instagram,#Euphoria #Birthdaysurprise,15.0,30.0,Uk,21,2018-11-05,21:45:00
 Contentment in the simplicity of a home-cooked meal. ,Contentment,Homechef,Facebook,#Contentment #Homecooking,25.0,50.0,India,13,2015-09-12,13:20:00
 Serenity found in the melody of a peaceful piano.    ,Serenity,Musiclover4,Twitter,#Serenity #Peacefulmelody,18.0,35.0,Canada,18,2016-07-30,18:10:00
 Gratitude for the supportive community around me.    ,Gratitude,Communitylove,Instagram,#Gratitude #Communitysupport,30.0,60.0,Usa,10,2013-04-20,10:30:00
 Hopeful about the prospects of a new business venture.,Hope,Entrepreneurhope,Facebook,#Hope #Businessventure,22.0,45.0,Canada,19,2017-12-08,19:15:00
 Empowerment through mentoring and guiding others.    ,Empowerment,Mentorempower,Twitter,#Empowerment #Mentorship,15.0,30.0,Uk,8,2014-06-03,08:20:00
 Compassion shown through acts of kindness in the community.,Compassion,Kindnessinaction,Instagram,#Compassion #Communitykindness,18.0,35.0,Australia,14,2019-01-15,14:50:00
 Tenderness in a heartfelt message to a loved one.    ,Tenderness,Loveexpress,Facebook,#Tenderness #Lovenote,25.0,50.0,Uk,19,2016-12-25,19:30:00
 Arousal of excitement before a much-awaited trip.    ,Arousal,Travelexcitement,Twitter,#Arousal #Traveladventure,20.0,40.0,India,9,2018-03-10,09:45:00
 Enthusiasm for a new artistic project in the works.  ,Enthusiasm,Artisticspirit,Instagram,#Enthusiasm #Artisticproject,15.0,30.0,Usa,16,2020-09-17,16:30:00
 Feeling a sense of fulfillment after helping others. ,Fulfillment,Helperheart,Facebook,#Fulfillment #Helpingothers,22.0,45.0,Canada,18,2011-08-28,18:45:00
 Reverence for the historical significance of a landmark.,Reverence,Historybuff,Twitter,#Reverence #Historicalsite,18.0,35.0,Australia,15,2017-11-01,15:30:00
 Elation after achieving a fitness milestone.         ,Elation,Fitnessachiever2,Instagram,#Elation #Fitnessmilestone,25.0,50.0,Uk,10,2019-06-15,10:00:00
 The euphoria of a successful product launch.         ,Euphoria,Productlaunchjoy,Facebook,#Euphoria #Productlaunchsuccess,15.0,30.0,Usa,11,2022-04-03,11:45:00
 Contentment in the embrace of a loved one.           ,Contentment,Lovingembrace,Twitter,#Contentment #Love,30.0,60.0,India,20,2010-11-12,20:20:00
 Serenity found in the beauty of a sunset by the sea.  ,Serenity,Sunsetwatcher2,Instagram,#Serenity #Sunsetviews,22.0,45.0,Canada,18,2011-07-22,18:30:00
 Gratitude for the small joys that each day brings.   ,Gratitude,Joyfulheart2,Facebook,#Gratitude #Smalljoys,15.0,30.0,Australia,11,2012-03-30,11:20:00
 Hopeful about the potential for personal growth.      ,Hope,Growthoptimist,Twitter,#Hope #Personaldevelopment,18.0,35.0,Uk,16,2013-10-05,16:40:00
 Empowerment through learning a new skill.            ,Empowerment,Skillempower,Instagram,#Empowerment #Skillbuilding,25.0,50.0,India,13,2014-07-10,13:15:00
 Compassion in volunteering for a local charity.       ,Compassion,Charityvolunteer,Facebook,#Compassion #Volunteerwork,18.0,35.0,Usa,14,2015-12-18,14:20:00
 Tenderness in a quiet moment shared with a pet.      ,Tenderness,Petlove,Twitter,#Tenderness #Petlove,25.0,50.0,Canada,19,2016-02-10,19:45:00
 Arousal of excitement for an upcoming festival.       ,Arousal,Festivalfan,Instagram,#Arousal #Festivalexcitement,20.0,40.0,Uk,11,2017-09-25,11:30:00
 Enthusiasm for a DIY home improvement project.       ,Enthusiasm,Diyenthusiast,Facebook,#Enthusiasm #Homeimprovement,15.0,30.0,Australia,16,2018-04-15,16:00:00
 Fulfillment in completing a challenging puzzle.      ,Fulfillment,Puzzlemaster,Twitter,#Fulfillment #Puzzlechallenge,22.0,45.0,India,18,2019-11-28,18:20:00
 Reverence for the wonders of nature on a hiking trail.,Reverence,Natureadmirer,Instagram,#Reverence #Natureexploration,18.0,35.0,Usa,15,2020-05-11,15:00:00
 Elation after a surprise reunion with a childhood friend.,Elation,Childhoodjoy,Facebook,#Elation #Friendshipreunion,25.0,50.0,Canada,9,2021-02-05,09:30:00
 Suffering from despair after another setback.      ,Despair,Strugglingsoul,Twitter,#Despair #Struggle,5.0,10.0,Usa,8,2021-03-10,08:30:00
" Overwhelmed by grief, missing a loved one dearly.  ",Grief,Mourningheart,Instagram,#Grief #Loss,8.0,15.0,Canada,15,2022-07-05,15:45:00
 Loneliness creeps in as the night grows colder.    ,Loneliness,Solitarysoul,Facebook,#Loneliness #Isolation,10.0,20.0,Uk,21,2019-11-18,21:20:00
 Jealousy consumes me as I witness others' success. ,Jealousy,Enviousobserver,Twitter,#Jealousy #Envy,12.0,25.0,India,11,2020-08-12,11:30:00
 Resentment building up over past betrayals.        ,Resentment,Bitterheart,Instagram,#Resentment #Bitterness,7.0,15.0,Australia,14,2018-05-22,14:45:00
 Frustration mounts as obstacles block my path.     ,Frustration,Blockedgoals,Facebook,#Frustration #Obstacles,10.0,20.0,Usa,16,2017-01-30,16:10:00
" Boredom sets in, the day feels endlessly dull.     ",Boredom,Boredmind,Twitter,#Boredom #Lackofinterest,8.0,15.0,Canada,19,2016-09-28,19:45:00
" Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety,Worriedmind,Instagram,#Anxiety #Worry,12.0,25.0,Uk,9,2019-04-15,09:00:00
 Intimidation by the unknown future ahead.          ,Intimidation,Fearfulsoul,Facebook,#Intimidation #Fear,15.0,30.0,India,18,2021-12-03,18:30:00
 Helplessness sinks in as challenges pile up.       ,Helplessness,Overwhelmedheart,Twitter,#Helplessness #Overwhelmed,8.0,15.0,Australia,14,2020-06-20,14:20:00
 Envy eats away at me as I see others' prosperity.  ,Envy,Covetousmind,Instagram,#Envy #Desire,10.0,20.0,Canada,11,2018-11-07,11:30:00
 Regret over missed opportunities haunts my thoughts.,Regret,Remorsefulsoul,Facebook,#Regret #Missedchances,12.0,25.0,Uk,16,2017-08-25,16:00:00
 Disgust at the sight of injustice and cruelty.     ,Disgust,Disgustedheart,Twitter,#Disgust #Injustice,7.0,15.0,India,9,2019-02-11,09:45:00
" Drowning in despair, hope slipping through my fingers.",Despair,Hopelessheart,Instagram,#Despair #Hopeless,10.0,20.0,Usa,20,2016-04-02,20:20:00
" Grief weighs heavy, tears a constant companion.    ",Grief,Tearfulsoul,Facebook,#Grief #Tears,12.0,25.0,Canada,15,2015-10-18,15:30:00
" Loneliness in a crowded room, a silent cry for connection.",Loneliness,Isolatedmind,Twitter,#Loneliness #Seekingconnection,15.0,30.0,Uk,18,2019-07-12,18:10:00
" Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy,Selfdoubt,Instagram,#Jealousy #Insecurity,8.0,15.0,India,16,2018-06-03,16:30:00
" Resentment festers, poisoning relationships.       ",Resentment,Brokentrust,Facebook,#Resentment #Brokentrust,10.0,20.0,Australia,12,2022-01-15,12:00:00
